Date : 2025-03-20 11:01:49
Directory : /home/andrew/osdev
Total : 73 files,  8105 codes, 1164 comments, 1627 blanks, all 10896 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C             |         47 |      7,044 |      1,083 |      1,338 |      9,465 |
| NASM Assembly |          4 |        558 |         48 |        143 |        749 |
| C++           |         19 |        344 |         15 |        111 |        470 |
| Makefile      |          1 |         85 |         18 |         22 |        125 |
| Markdown      |          1 |         71 |          0 |         13 |         84 |
| Properties    |          1 |          3 |          0 |          0 |          3 |
+---------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------+------------+------------+------------+------------+------------+
| path                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                  |         73 |      8,105 |      1,164 |      1,627 |     10,896 |
| . (Files)                                          |          2 |        156 |         18 |         35 |        209 |
| src                                                |         71 |      7,949 |      1,146 |      1,592 |     10,687 |
| src/acpi                                           |          2 |        239 |         18 |         40 |        297 |
| src/boot                                           |          6 |        712 |         63 |        187 |        962 |
| src/console                                        |          4 |        535 |         46 |         92 |        673 |
| src/datastructures                                 |          2 |         91 |          3 |         11 |        105 |
| src/disk                                           |          4 |        661 |         95 |        111 |        867 |
| src/filesystems                                    |          2 |        653 |        109 |        101 |        863 |
| src/interrupts                                     |          3 |        929 |        255 |        129 |      1,313 |
| src/kernel                                         |         12 |      1,390 |        242 |        335 |      1,967 |
| src/lib                                            |         14 |        503 |         39 |        123 |        665 |
| src/libc                                           |          2 |        163 |          8 |         18 |        189 |
| src/memory                                         |          4 |        449 |         92 |        127 |        668 |
| src/multitasking                                   |          2 |        250 |         39 |         64 |        353 |
| src/ps2                                            |          6 |        426 |         52 |         79 |        557 |
| src/sound                                          |          2 |         43 |          0 |         13 |         56 |
| src/time                                           |          2 |        193 |          8 |         40 |        241 |
| src/userland                                       |          2 |        263 |         23 |         40 |        326 |
| src/vfs                                            |          2 |        449 |         54 |         82 |        585 |
+----------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                           | language      | code       | comment    | blank      | total      |
+----------------------------------------------------+---------------+------------+------------+------------+------------+
| /home/andrew/osdev/makefile                        | Makefile      |         85 |         18 |         22 |        125 |
| /home/andrew/osdev/readme.md                       | Markdown      |         71 |          0 |         13 |         84 |
| /home/andrew/osdev/src/acpi/acpi.c                 | C             |        110 |         13 |         20 |        143 |
| /home/andrew/osdev/src/acpi/acpi.h                 | C             |        129 |          5 |         20 |        154 |
| /home/andrew/osdev/src/boot/boot.asm               | NASM Assembly |        138 |         32 |         38 |        208 |
