Date : 2025-03-16 22:25:20
Directory : /home/andrew/osdev
Total : 70 files,  6720 codes, 963 comments, 1402 blanks, all 9085 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C             |         44 |      5,665 |        860 |      1,101 |      7,626 |
| NASM Assembly |          3 |        540 |         46 |        139 |        725 |
| C++           |         20 |        360 |         37 |        128 |        525 |
| Makefile      |          1 |         82 |         20 |         21 |        123 |
| Markdown      |          1 |         70 |          0 |         13 |         83 |
| Properties    |          1 |          3 |          0 |          0 |          3 |
+---------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------+------------+------------+------------+------------+------------+
| path                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                  |         70 |      6,720 |        963 |      1,402 |      9,085 |
| . (Files)                                          |          2 |        152 |         20 |         34 |        206 |
| src                                                |         68 |      6,568 |        943 |      1,368 |      8,879 |
| src/acpi                                           |          2 |        239 |         18 |         40 |        297 |
| src/boot                                           |          6 |        712 |         63 |        187 |        962 |
| src/console                                        |          4 |        373 |         35 |         72 |        480 |
| src/datastructures                                 |          2 |         91 |          3 |         11 |        105 |
| src/disk                                           |          4 |        649 |         83 |        110 |        842 |
| src/filesystems                                    |          2 |         57 |         17 |         12 |         86 |
| src/interrupts                                     |          3 |        780 |        216 |        105 |      1,101 |
| src/kernel                                         |         12 |      1,283 |        246 |        318 |      1,847 |
| src/lib                                            |         14 |        497 |         39 |        121 |        657 |
| src/memory                                         |          4 |        411 |         78 |        113 |        602 |
| src/multitasking                                   |          2 |        235 |         33 |         57 |        325 |
| src/ps2                                            |          6 |        424 |         51 |         77 |        552 |
| src/sound                                          |          2 |         43 |          0 |         13 |         56 |
| src/time                                           |          2 |        192 |          8 |         41 |        241 |
| src/userland                                       |          1 |        277 |         12 |         34 |        323 |
